id,name,category_id,category_name,product_type,selling_price,quantity_info,shelf_life_days,total_stock,description,is_active,created_at
7720d4b9-00ca-4de7-9020-041265fc3107,Telur puyuh 1 kg,660e8400-e29b-41d4-a716-446655440003,Protein Telur,online,28000,1 kg,14,90,Telur puyuh 1 kg segar berkualitas tinggi,True,2025-09-05 20:57:07
d64a383b-6112-47b7-a18e-a8cf9fa8fb21,Telur ayam negeri,660e8400-e29b-41d4-a716-446655440003,Protein Telur,online,32000,1 kg,21,100,Telur ayam negeri segar berkualitas tinggi,True,2025-11-23 20:57:07
d17954aa-743b-4ff8-843f-baa9882e56a3,Sereh 1 ikat,660e8400-e29b-41d4-a716-446655440004,Bumbu,online,5000,1 ikat,7,50,Sereh 1 ikat segar berkualitas tinggi,True,2025-09-02 20:57:07
54f78d73-e07a-4863-bb29-3c9517a716d3,Jahe 250g,660e8400-e29b-41d4-a716-446655440004,Bumbu,online,8000,250 g,14,45,Jahe 250g segar berkualitas tinggi,True,2025-09-08 20:57:07
932a5d8b-c8d0-442f-91a5-4dc7dbe137f6,Bawal,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,75000,1 kg,2,28,Bawal segar berkualitas tinggi,True,2025-10-31 20:57:07
0e462ced-37f3-4960-bd58-1461ae7cebe2,Kencur 200g,660e8400-e29b-41d4-a716-446655440004,Bumbu,online,6000,200 g,10,40,Kencur 200g segar berkualitas tinggi,True,2025-09-11 20:57:07
36d6f0d3-a4e9-40e8-b4a0-f37ffdc98e80,Lengkuas 300g,660e8400-e29b-41d4-a716-446655440004,Bumbu,online,7000,300 g,12,38,Lengkuas 300g segar berkualitas tinggi,True,2025-09-19 20:57:07
8969e32c-0606-49f8-8262-28a337d93839,Kunyit 250g,660e8400-e29b-41d4-a716-446655440004,Bumbu,online,9000,250 g,10,42,Kunyit 250g segar berkualitas tinggi,True,2025-10-05 20:57:07
895a88ae-b25e-4198-b8ce-2c6b98b530fa,Tomat 1 kg,660e8400-e29b-41d4-a716-446655440004,Bumbu,online,12000,1 kg,7,70,Tomat 1 kg segar berkualitas tinggi,True,2025-10-24 20:57:07
566f0937-73b3-4115-b5aa-ddf548383135,Daun salam 100g,660e8400-e29b-41d4-a716-446655440005,Sayur,online,3000,100 g,5,60,Daun salam 100g segar berkualitas tinggi,True,2025-10-17 20:57:07
7c05ce84-5fba-401a-b3dd-6c1bb3434baa,Daun jeruk 50g,660e8400-e29b-41d4-a716-446655440005,Sayur,online,4000,50 g,5,55,Daun jeruk 50g segar berkualitas tinggi,True,2025-09-05 20:57:07
8e92045c-5e6e-49ed-ab90-b2f48ee054ac,Kentang 1 kg,660e8400-e29b-41d4-a716-446655440005,Sayur,online,18000,1 kg,30,80,Kentang 1 kg segar berkualitas tinggi,True,2025-08-31 20:57:07
22dcfd0f-1989-4b3a-905e-4d4508483590,Pete 500g,660e8400-e29b-41d4-a716-446655440005,Sayur,online,25000,500 g,7,35,Pete 500g segar berkualitas tinggi,True,2025-09-10 20:57:07
15a2b4b7-8e82-4815-84af-477582d6d4e8,Apel fuji 1 kg,660e8400-e29b-41d4-a716-446655440006,Buah,online,45000,1 kg,14,50,Apel fuji 1 kg segar berkualitas tinggi,True,2025-09-09 20:57:07
0dcea2ff-2c7d-4349-81a4-9a922d251bc7,Salak pondoh 1 kg,660e8400-e29b-41d4-a716-446655440006,Buah,online,20000,1 kg,7,40,Salak pondoh 1 kg segar berkualitas tinggi,True,2025-09-30 20:57:07
0454da22-79c8-46da-941b-59e2e837b2d6,Tongkol,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,55000,1 kg,2,32,Tongkol segar berkualitas tinggi,True,2025-10-31 20:57:07
e4016c30-6fdf-4bc0-8aac-90251ed59474,Daging sapi 500g,660e8400-e29b-41d4-a716-446655440002,Protein Daging,online,120000,500 g,7,20,Daging sapi 500g segar berkualitas tinggi,True,2025-09-13 20:57:07
2994aaf1-ae81-4d5c-97c7-ee6044ad977a,Bawang putih 250g,660e8400-e29b-41d4-a716-446655440004,Bumbu,online,15000,250 g,30,65,Bawang putih 250g segar berkualitas tinggi,True,2025-11-13 20:57:07
a60dbf18-c1fb-474b-bff4-e8426cb2cc7a,Cabai merah 500g,660e8400-e29b-41d4-a716-446655440004,Bumbu,online,35000,500 g,7,50,Cabai merah 500g segar berkualitas tinggi,True,2025-10-19 20:57:07
35f6a297-a125-4617-a38c-8a49a7002cd9,Daun singkong 1 ikat,660e8400-e29b-41d4-a716-446655440005,Sayur,online,5000,1 ikat,3,45,Daun singkong 1 ikat segar berkualitas tinggi,True,2025-10-19 20:57:07
0926c326-915b-409d-b677-aae6696c87ab,Seledri 1 ikat,660e8400-e29b-41d4-a716-446655440005,Sayur,online,4000,1 ikat,5,50,Seledri 1 ikat segar berkualitas tinggi,True,2025-09-09 20:57:07
98d8d5cb-c8f1-4a5a-ad69-bec1d221e519,Wortel 1 kg,660e8400-e29b-41d4-a716-446655440005,Sayur,online,15000,1 kg,21,70,Wortel 1 kg segar berkualitas tinggi,True,2025-10-24 20:57:07
9af10703-fa13-4473-8682-aa9d905205f6,Daun bawang 1 ikat,660e8400-e29b-41d4-a716-446655440005,Sayur,online,6000,1 ikat,5,55,Daun bawang 1 ikat segar berkualitas tinggi,True,2025-10-04 20:57:07
2414ebda-b693-4952-8dc6-1c7e6f18f861,Brokoli 500g,660e8400-e29b-41d4-a716-446655440005,Sayur,online,22000,500 g,7,40,Brokoli 500g segar berkualitas tinggi,True,2025-11-20 20:57:07
b766b9d7-f3ae-4858-8273-7afc2b0d0ea9,Jeruk medan 1 kg,660e8400-e29b-41d4-a716-446655440006,Buah,online,35000,1 kg,14,55,Jeruk medan 1 kg segar berkualitas tinggi,True,2025-11-23 20:57:07
705e8518-49ce-4be4-a01b-fdc214f4ec72,Kacang hijau 1 kg,660e8400-e29b-41d4-a716-446655440007,Bahan Kering,online,28000,1 kg,180,100,Kacang hijau 1 kg segar berkualitas tinggi,True,2025-09-29 20:57:07
42d5ef1c-db95-411b-89fa-434505387edc,Kedelai kuning 1 kg,660e8400-e29b-41d4-a716-446655440007,Bahan Kering,online,22000,1 kg,180,120,Kedelai kuning 1 kg segar berkualitas tinggi,True,2025-10-31 20:57:07
1e23552f-bc5e-4208-9e11-427b901c022c,Kacang tanah 1 kg,660e8400-e29b-41d4-a716-446655440007,Bahan Kering,online,30000,1 kg,90,80,Kacang tanah 1 kg segar berkualitas tinggi,True,2025-11-24 20:57:07
4d43fae2-9d28-488c-832a-de6f9f94087f,Kentang dieng 1 kg,660e8400-e29b-41d4-a716-446655440005,Sayur,online,25000,1 kg,30,60,Kentang dieng 1 kg segar berkualitas tinggi,True,2025-10-30 20:57:07
b14d511b-20cd-43c7-9b49-f37c0a9d4e2e,Singkong 1 kg,660e8400-e29b-41d4-a716-446655440005,Sayur,online,8000,1 kg,5,70,Singkong 1 kg segar berkualitas tinggi,True,2025-10-03 20:57:07
5264a61a-da95-4ca9-8c42-c845a8fad53e,Jagung manis 1 kg,660e8400-e29b-41d4-a716-446655440005,Sayur,online,18000,1 kg,7,50,Jagung manis 1 kg segar berkualitas tinggi,True,2025-10-28 20:57:07
395bced4-b52f-41d1-86f0-09eba3e7ca08,Mie instant 1 karton,660e8400-e29b-41d4-a716-446655440007,Bahan Kering,online,75000,1 karton,180,40,Mie instant 1 karton segar berkualitas tinggi,True,2025-09-26 20:57:07
af7ba84d-676a-47e6-9221-0974fb76dce2,Minyak goreng 2L,660e8400-e29b-41d4-a716-446655440007,Bahan Kering,online,45000,2 L,365,90,Minyak goreng 2L segar berkualitas tinggi,True,2025-10-07 20:57:07
47b15327-cc21-4675-9f1d-2ecf48c8f596,Gula pasir 1 kg,660e8400-e29b-41d4-a716-446655440007,Bahan Kering,online,18000,1 kg,365,150,Gula pasir 1 kg segar berkualitas tinggi,True,2025-10-26 20:57:07
81e681d5-8f1f-4f3d-b16f-268bc92305e5,Gas LPG 3kg,660e8400-e29b-41d4-a716-446655440007,Bahan Kering,online,22000,3 kg,365,50,Gas LPG 3kg segar berkualitas tinggi,True,2025-11-21 20:57:07
7ff7d632-79f8-4a95-bcdf-dafb9b46899e,Pisang cavendish 1 kg,660e8400-e29b-41d4-a716-446655440006,Buah,online,25000,1 kg,7,60,Pisang cavendish 1 kg segar berkualitas tinggi,True,2025-11-01 20:57:07
b40277d1-e51a-4b24-b017-83458955af1a,Susu UHT 1 L,660e8400-e29b-41d4-a716-446655440007,Bahan Kering,online,18000,1 L,180,80,Susu UHT 1 L segar berkualitas tinggi,True,2025-09-03 20:57:07
af5f9e6c-806a-416d-aa71-951a0d5774fc,Telur bebek 1 kg,660e8400-e29b-41d4-a716-446655440003,Protein Telur,online,38000,1 kg,21,50,Telur bebek 1 kg segar berkualitas tinggi,True,2025-09-05 20:57:07
e4edb052-837f-4f83-aa21-da54a1e1c8e7,Telur omega 1 kg,660e8400-e29b-41d4-a716-446655440003,Protein Telur,online,42000,1 kg,21,45,Telur omega 1 kg segar berkualitas tinggi,True,2025-08-30 20:57:07
1c47fbb5-9ffd-4919-b89b-58991b37a275,Daging kambing 500g,660e8400-e29b-41d4-a716-446655440002,Protein Daging,online,140000,500 g,7,15,Daging kambing 500g segar berkualitas tinggi,True,2025-11-16 20:57:07
0c51b03f-00c3-4bac-b11c-de90b8ba27fd,Tahu putih 1 kg,660e8400-e29b-41d4-a716-446655440007,Bahan Kering,online,12000,1 kg,3,100,Tahu putih 1 kg segar berkualitas tinggi,True,2025-11-06 20:57:07
1d377005-8099-4f51-83e9-91d4682e6397,Tepung terigu 1 kg,660e8400-e29b-41d4-a716-446655440007,Bahan Kering,online,15000,1 kg,180,120,Tepung terigu 1 kg segar berkualitas tinggi,True,2025-09-29 20:57:07
